,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
367,tm24436,An Extremely Goofy Movie,MOVIE,2000,G,79,['animation'],0.0,,,16.387,6.3
368,tm61632,Brink!,MOVIE,1998,G,99,"['drama', 'family', 'sport']",0.0,6.9,6248.0,6.0329999999999995,6.2
369,tm51884,Doug's 1st Movie,MOVIE,1999,G,77,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'drama']",0.0,4.9,3246.0,7.382999999999999,5.5
370,tm110769,D3: The Mighty Ducks,MOVIE,1996,PG,104,"['action', 'drama', 'family', 'sport', 'comedy']",0.0,5.4,26851.0,12.315999999999999,6.0
371,tm191826,"Honey, We Shrunk Ourselves",MOVIE,1997,PG,74,"['scifi', 'action', 'comedy', 'family']",0.0,4.9,15109.0,14.321,5.5
372,tm13851,Tall Tale,MOVIE,1995,PG,98,"['western', 'family', 'fantasy']",0.0,5.9,3777.0,6.246,6.3
373,tm187779,Life with Mikey,MOVIE,1993,PG,91,"['comedy', 'family', 'european']",0.0,5.6,6002.0,7.485,5.6
374,tm118708,White Fang 2: Myth of the White Wolf,MOVIE,1994,PG,106,"['family', 'action']",0.0,5.4,2318.0,10.11,6.6
375,tm560,102 Dalmatians,MOVIE,2000,G,100,"['comedy', 'family']",0.0,4.8,37218.0,14.95,5.5
376,tm193086,Squanto: A Warrior's Tale,MOVIE,1994,PG,102,"['action', 'drama', 'family']",0.0,6.0,1261.0,4.543,6.4
377,tm190553,Pooh's Grand Adventure: The Search for Christopher Robin,MOVIE,1997,G,76,['animation'],0.0,,,10.414000000000001,7.1
378,ts3540,The Avengers: United They Stand,SHOW,1999,TV-Y7,22,"['animation', 'action', 'scifi']",1.0,5.2,946.0,8.808,6.7
379,tm22933,The Tigger Movie,MOVIE,2000,G,77,"['animation', 'comedy', 'drama', 'family']",0.0,6.3,18786.0,12.115,6.5
380,tm51489,Don't Look Under the Bed,MOVIE,1999,PG,93,"['horror', 'family', 'fantasy', 'comedy']",0.0,6.7,3169.0,6.354,6.6
381,tm18863,The Little Mermaid II: Return to the Sea,MOVIE,2000,PG,75,"['comedy', 'animation', 'action', 'family']",0.0,,,12.18,6.4
382,tm63109,Miracle at Midnight,MOVIE,1998,,90,['drama'],0.0,,,1.979,7.2
383,ts21063,Quack Pack,SHOW,1996,,22,"['animation', 'comedy', 'family']",1.0,6.7,4117.0,8.237,7.0
384,tm53567,Smart House,MOVIE,1999,G,82,"['fantasy', 'drama', 'family', 'scifi', 'comedy']",0.0,6.1,7365.0,6.242000000000001,5.8
385,tm64295,Zenon: Girl of the 21st Century,MOVIE,1999,G,97,"['scifi', 'family', 'comedy']",0.0,6.3,7592.0,6.716,6.2
386,tm65486,Ruby Bridges,MOVIE,1998,PG,96,['drama'],0.0,,,2.886,6.3
387,tm192276,Beauty and the Beast: The Enchanted Christmas,MOVIE,1997,G,72,"['animation', 'family', 'fantasy']",0.0,,,16.772000000000002,6.2
388,tm46480,Mickey's Once Upon a Christmas,MOVIE,1999,G,66,['comedy'],0.0,,,10.982999999999999,7.1
389,tm56602,I'll Be Home for Christmas,MOVIE,1998,PG,86,"['comedy', 'family']",0.0,5.5,10572.0,7.56,5.7
390,tm52742,Winnie the Pooh: A Valentine for You,MOVIE,1999,G,22,"['animation', 'family', 'drama', 'comedy']",0.0,7.1,573.0,4.141,6.8
391,tm23725,The Color of Friendship,MOVIE,2000,PG,87,"['drama', 'family']",0.0,7.2,3876.0,7.553999999999999,7.1
392,tm60240,Genius,MOVIE,1999,G,82,"['family', 'comedy', 'drama', 'documentation', 'romance', 'scifi']",0.0,6.0,1913.0,3.455,6.0
393,tm191851,That Darn Cat,MOVIE,1997,PG,89,"['comedy', 'action', 'crime', 'family']",0.0,4.6,4436.0,6.959,4.9
394,tm39132,Horse Sense,MOVIE,1999,G,92,"['drama', 'family']",0.0,6.1,1884.0,6.505,7.0
395,tm17532,Frank and Ollie,MOVIE,1995,PG,89,['documentation'],0.0,7.7,914.0,2.799,7.5
396,tm56569,Can of Worms,MOVIE,1999,PG,90,"['scifi', 'comedy', 'family']",0.0,4.9,1038.0,4.31,4.4
397,tm52424,Richie Rich's Christmas Wish,MOVIE,1998,G,84,"['family', 'comedy']",0.0,,,11.161,4.9
398,tm22055,For the Birds,MOVIE,2000,G,3,['comedy'],0.0,,,10.805,7.5
399,tm54352,Belle's Magical World,MOVIE,1998,G,92,['animation'],0.0,,,16.968,6.2
400,tm49771,Meet the Deedles,MOVIE,1998,PG,93,"['comedy', 'family', 'sport']",0.0,4.0,2943.0,6.6739999999999995,4.4
401,tm21420,Alley Cats Strike,MOVIE,2000,G,87,"['drama', 'comedy', 'family', 'sport']",0.0,6.0,2328.0,3.6,5.9
402,tm61627,The Thirteenth Year,MOVIE,1999,G,95,"['comedy', 'fantasy', 'family']",0.0,5.9,5478.0,7.14,6.6
403,tm64787,The Jungle Book: Mowgli's Story,MOVIE,1998,G,77,['family'],0.0,,,6.244,5.9
404,tm17754,"Up, Up, and Away",MOVIE,2000,G,77,"['action', 'family', 'scifi', 'comedy', 'fantasy']",0.0,5.4,1985.0,4.695,5.5
405,tm192613,Geri's Game,MOVIE,1997,G,4,"['animation', 'family', 'european']",0.0,,,14.074000000000002,7.8
406,ts21022,Teacher's Pet,SHOW,2000,TV-Y,21,"['comedy', 'fantasy', 'animation', 'family']",2.0,6.2,515.0,3.635,7.6
407,tm56857,You Lucky Dog,MOVIE,1998,,88,"['fantasy', 'comedy', 'family']",0.0,4.6,675.0,3.3539999999999996,5.6
408,tm29703,Miracle in Lane 2,MOVIE,2000,G,89,"['comedy', 'drama', 'family', 'sport']",0.0,6.0,2132.0,3.695,6.2
409,tm27619,Phantom of the Megaplex,MOVIE,2000,G,89,"['action', 'thriller', 'horror', 'comedy', 'family']",0.0,6.3,3448.0,5.3870000000000005,6.0
410,tm49485,Pocahontas II: Journey to a New World,MOVIE,1998,G,72,['romance'],0.0,,,41.996,5.5
411,tm24519,Rip Girls,MOVIE,2000,G,87,"['romance', 'drama', 'family']",0.0,5.9,1338.0,4.013,6.4
412,tm186295,Trail Mix-Up,MOVIE,1993,G,8,['animation'],0.0,,,3.863,6.9
413,tm22701,Mom's Got a Date with a Vampire,MOVIE,2000,,85,"['fantasy', 'horror', 'comedy', 'family']",0.0,5.8,4259.0,8.344,5.8
414,tm19899,Ready to Run,MOVIE,2000,,88,"['family', 'sport']",0.0,5.4,352.0,3.844,6.1
415,tm24952,Whispers: An Elephant's Tale,MOVIE,2000,G,72,"['family', 'drama']",0.0,5.0,359.0,4.762,4.8
416,tm19463,The Ultimate Christmas Present,MOVIE,2000,G,85,"['comedy', 'family']",0.0,5.7,1722.0,5.394,5.5
417,tm19235,Stepsister from Planet Weird,MOVIE,2000,G,85,"['scifi', 'family', 'comedy']",0.0,5.7,1539.0,3.965,5.5
418,tm17610,Quints,MOVIE,2000,G,83,"['drama', 'comedy', 'family']",0.0,5.5,2427.0,4.48,5.6
419,tm7772,Mark Twain and Me,MOVIE,1991,,93,['drama'],0.0,6.9,168.0,2.278,7.5
420,tm133512,Pirates of the Caribbean: The Curse of the Black Pearl,MOVIE,2003,PG-13,143,"['fantasy', 'action']",0.0,8.0,1081867.0,484.892,7.8
421,tm135853,Avatar,MOVIE,2009,PG-13,165,"['fantasy', 'scifi', 'action']",0.0,7.8,1193331.0,598.284,7.5
422,tm90391,National Treasure,MOVIE,2004,PG,131,"['thriller', 'action', 'western', 'family']",0.0,6.9,325293.0,26.045,6.6
423,tm151348,Fantastic Mr. Fox,MOVIE,2009,PG,87,"['animation', 'family', 'comedy', 'crime', 'drama']",0.0,7.9,224514.0,21.156999999999996,7.8
424,tm22112,Night at the Museum,MOVIE,2006,PG,108,"['comedy', 'fantasy', 'family']",0.0,6.4,339256.0,33.216,6.6
425,tm90273,Percy Jackson & the Olympians: The Lightning Thief,MOVIE,2010,PG,118,"['fantasy', 'family']",0.0,5.8,186679.0,146.379,6.2
426,ts1,Star Wars: The Clone Wars,SHOW,2008,TV-PG,23,"['scifi', 'action', 'animation', 'drama', 'fantasy']",7.0,8.4,85602.0,83.85799999999999,8.5
427,tm79327,National Treasure: Book of Secrets,MOVIE,2007,PG,124,"['thriller', 'action', 'family']",0.0,6.5,233013.0,25.46,6.3
428,tm31764,Pirates of the Caribbean: Dead Man's Chest,MOVIE,2006,PG-13,151,"['fantasy', 'action']",0.0,7.3,697579.0,635.656,7.3
429,tm138563,Holes,MOVIE,2003,PG,118,"['comedy', 'drama', 'family']",0.0,7.0,86438.0,17.977999999999998,6.8
430,ts21960,Star Wars: Clone Wars,SHOW,2003,TV-PG,10,"['action', 'scifi', 'animation', 'drama', 'family', 'fantasy']",3.0,7.8,25637.0,17.734,7.7
431,tm180742,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",MOVIE,2005,PG,143,"['fantasy', 'family', 'documentation']",0.0,6.9,390458.0,92.115,7.1
432,tm51227,Iron Man,MOVIE,2008,PG-13,125,"['action', 'scifi']",0.0,7.9,1026464.0,116.448,7.6
433,tm100267,Alice in Wonderland,MOVIE,2010,PG,109,"['fantasy', 'family']",0.0,6.4,406781.0,83.34,6.6
434,tm25151,WALL·E,MOVIE,2008,G,98,"['scifi', 'family', 'fantasy', 'romance', 'animation']",0.0,8.4,1083424.0,75.615,8.1
435,tm116550,Ice Age,MOVIE,2002,PG,81,"['animation', 'comedy', 'family', 'fantasy']",0.0,7.5,472952.0,153.468,7.3
436,tm48427,The Princess Diaries,MOVIE,2001,G,115,"['comedy', 'romance', 'family']",0.0,6.3,141111.0,37.787,6.9
437,tm99496,TRON: Legacy,MOVIE,2010,PG,125,"['scifi', 'action', 'fantasy', 'european']",0.0,6.8,331020.0,64.954,6.4
438,tm170269,Fantastic Four,MOVIE,2005,PG-13,106,"['fantasy', 'scifi', 'action', 'family']",0.0,5.7,325696.0,45.841,5.8
439,tm99086,Secretariat,MOVIE,2010,PG,123,"['drama', 'documentation', 'family', 'history', 'sport']",0.0,7.2,28232.0,14.735,7.4
440,tm84873,Pirates of the Caribbean: At World's End,MOVIE,2007,PG-13,169,"['fantasy', 'action']",0.0,7.1,633813.0,570.745,7.2
441,tm84668,Enchanted,MOVIE,2007,PG,107,"['comedy', 'family', 'fantasy', 'romance', 'animation']",0.0,7.1,194999.0,53.669,6.8
442,tm70557,Ratatouille,MOVIE,2007,G,111,"['fantasy', 'animation', 'comedy', 'family', 'drama']",0.0,8.1,702889.0,123.914,7.8
443,ts22052,Phineas and Ferb,SHOW,2007,TV-G,21,"['scifi', 'family', 'animation', 'action', 'comedy']",4.0,8.3,72.0,41.523,7.9
444,tm103874,Treasure Planet,MOVIE,2002,PG,95,"['fantasy', 'scifi', 'animation', 'family']",0.0,7.1,114828.0,49.66,7.5
445,tm137900,Cheaper by the Dozen,MOVIE,2003,PG,98,"['comedy', 'family']",0.0,5.9,100999.0,23.068,6.3
446,tm150254,Freaky Friday,MOVIE,2003,PG,93,"['fantasy', 'comedy', 'family', 'music', 'romance']",0.0,6.3,135669.0,31.765,6.4
447,tm90577,Miracle,MOVIE,2004,PG,135,"['drama', 'history', 'sport', 'european']",0.0,7.4,53793.0,10.380999999999998,7.1
448,tm154915,X-Men Origins: Wolverine,MOVIE,2009,PG-13,107,"['action', 'thriller', 'scifi']",0.0,6.5,494995.0,14.029000000000002,6.3
449,tm102214,The Sorcerer's Apprentice,MOVIE,2010,PG,109,"['fantasy', 'action', 'family', 'european']",0.0,6.1,160601.0,24.302,6.1
450,tm84505,The Incredibles,MOVIE,2004,PG,115,"['animation', 'action', 'family']",0.0,8.0,709766.0,107.147,7.7
451,tm68154,Dan in Real Life,MOVIE,2007,PG-13,98,"['romance', 'comedy', 'drama']",0.0,6.8,102204.0,9.954,6.5
452,tm136160,X2,MOVIE,2003,PG-13,133,"['scifi', 'action', 'thriller']",0.0,7.4,540104.0,2.031,7.0
453,tm153612,Up,MOVIE,2009,PG,96,"['comedy', 'drama', 'family', 'animation']",0.0,8.3,1013530.0,114.96799999999999,7.9
454,tm76258,Alvin and the Chipmunks,MOVIE,2007,PG,92,"['comedy', 'fantasy', 'animation', 'drama', 'family', 'music']",0.0,5.2,84098.0,42.729,5.8
455,tm142274,Night at the Museum: Battle of the Smithsonian,MOVIE,2009,PG,105,"['fantasy', 'action', 'comedy', 'family']",0.0,6.0,192573.0,43.101000000000006,6.1
456,tm177722,Sky High,MOVIE,2005,PG,100,"['comedy', 'family', 'scifi', 'action']",0.0,6.3,85919.0,41.537,6.2
457,tm106045,Diary of a Wimpy Kid,MOVIE,2010,PG,94,"['comedy', 'drama', 'family', 'animation']",0.0,6.2,48686.0,23.066,6.2
458,tm92312,Iron Man 2,MOVIE,2010,PG-13,124,"['scifi', 'action', 'european']",0.0,6.9,792356.0,163.58700000000002,6.8
459,tm135549,Finding Nemo,MOVIE,2003,G,100,"['animation', 'family', 'comedy']",0.0,8.1,1006067.0,110.87100000000001,7.8
460,tm38852,Horton Hears a Who!,MOVIE,2008,G,86,"['fantasy', 'family', 'drama', 'romance', 'comedy', 'music', 'animation']",0.0,6.8,138363.0,37.73,6.5
461,tm96866,Prince of Persia: The Sands of Time,MOVIE,2010,PG-13,116,"['fantasy', 'scifi', 'action']",0.0,6.6,286211.0,72.683,6.2
462,ts2827,Dog Whisperer,SHOW,2004,TV-G,43,"['family', 'reality']",9.0,7.9,2743.0,10.901,7.1
463,tm31341,Cars,MOVIE,2006,G,117,"['comedy', 'family', 'animation', 'action', 'sport']",0.0,7.2,405894.0,77.32600000000001,6.9
464,tm75152,The Simpsons Movie,MOVIE,2007,PG-13,87,"['family', 'animation', 'comedy', 'european']",0.0,7.3,324941.0,107.92,7.0
465,tm29915,Atlantis: The Lost Empire,MOVIE,2001,PG,95,"['scifi', 'family', 'fantasy', 'animation', 'action']",0.0,6.9,116024.0,36.739000000000004,6.9
466,tm120806,The Rookie,MOVIE,2002,G,127,"['drama', 'family', 'sport']",0.0,6.9,34562.0,11.265,6.8
467,tm87455,Garfield,MOVIE,2004,PG,80,"['animation', 'comedy', 'family', 'fantasy']",0.0,5.0,85434.0,84.208,5.6
468,tm138383,Confessions of a Shopaholic,MOVIE,2009,PG,104,"['romance', 'comedy']",0.0,5.8,77921.0,67.406,6.4
469,tm114448,Lilo & Stitch,MOVIE,2002,PG,85,"['animation', 'comedy', 'drama', 'family', 'fantasy', 'scifi']",0.0,7.3,184928.0,108.944,7.5
470,tm177274,Because of Winn-Dixie,MOVIE,2005,PG,106,"['comedy', 'drama', 'family']",0.0,6.3,11580.0,8.988999999999999,6.4
471,tm37560,"Monsters, Inc.",MOVIE,2001,G,92,"['animation', 'comedy', 'family', 'fantasy']",0.0,8.1,882810.0,161.34,7.8
472,tm38375,X-Men: The Last Stand,MOVIE,2006,PG-13,104,"['thriller', 'action', 'scifi', 'documentation']",0.0,6.6,507856.0,1.838,6.4
473,tm163433,The Sandlot 2,MOVIE,2005,PG,97,['comedy'],0.0,,,8.304,5.9
474,tm6,Star Wars: Episode III - Revenge of the Sith,MOVIE,2005,PG-13,140,"['scifi', 'fantasy', 'action']",0.0,7.6,763677.0,41.82899999999999,7.4
475,tm68147,Meet the Robinsons,MOVIE,2007,G,95,"['comedy', 'animation', 'family', 'scifi', 'drama', 'music', 'fantasy']",0.0,6.8,97316.0,35.765,6.9
476,tm179262,Chicken Little,MOVIE,2005,G,81,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",0.0,5.7,91347.0,26.43,5.9
477,tm183058,The Greatest Game Ever Played,MOVIE,2005,PG,120,"['drama', 'sport', 'history']",0.0,7.4,30397.0,9.009,7.3
478,tm21946,Invincible,MOVIE,2006,PG,105,"['drama', 'sport']",0.0,7.0,70274.0,13.229000000000001,6.9
479,tm103181,You Again,MOVIE,2010,PG,105,"['comedy', 'romance']",0.0,5.7,51755.0,25.671,6.3
480,tm94814,The Chronicles of Narnia: The Voyage of the Dawn Treader,MOVIE,2010,PG,113,"['fantasy', 'action', 'family']",0.0,6.3,152053.0,58.761,6.4
481,ts21685,Lizzie McGuire,SHOW,2001,TV-PG,22,"['comedy', 'drama', 'family']",2.0,6.6,19060.0,52.203,7.4
482,tm5,Star Wars: Episode II - Attack of the Clones,MOVIE,2002,PG,142,"['scifi', 'fantasy', 'action']",0.0,6.6,688770.0,32.596,6.5
483,ts32553,Little Einsteins,SHOW,2005,TV-Y,25,"['animation', 'comedy', 'family', 'music', 'scifi', 'drama']",3.0,6.2,1834.0,22.299,7.2
484,tm54852,The Chronicles of Narnia: Prince Caspian,MOVIE,2008,PG,150,"['fantasy', 'action', 'family', 'european']",0.0,6.5,207416.0,75.555,6.6
485,tm100894,Tangled,MOVIE,2010,PG,100,"['animation', 'romance', 'comedy', 'family', 'fantasy']",0.0,7.7,440155.0,100.87200000000001,7.6
486,tm63076,Bedtime Stories,MOVIE,2008,PG,99,"['fantasy', 'romance', 'scifi', 'comedy', 'family']",0.0,6.0,94131.0,45.922,6.1
487,tm91170,Four Days in October,MOVIE,2010,,53,['documentation'],0.0,,,1.2830000000000001,6.9
488,ts20394,Kim Possible,SHOW,2002,TV-G,21,"['action', 'comedy', 'scifi', 'animation', 'family', 'romance']",4.0,7.2,27038.0,27.249000000000002,7.6
489,tm35022,Glory Road,MOVIE,2006,PG,118,"['history', 'drama', 'sport']",0.0,7.2,45723.0,12.366,7.5
490,tm34558,Star Wars: The Clone Wars,MOVIE,2008,PG,98,"['scifi', 'animation', 'action', 'family', 'fantasy']",0.0,5.9,64242.0,29.098000000000003,6.1
491,ts20626,Hannah Montana,SHOW,2006,TV-G,24,"['music', 'comedy', 'family']",4.0,5.1,39783.0,59.412,7.2
492,tm35085,Eragon,MOVIE,2006,PG,104,"['fantasy', 'family', 'action']",0.0,5.1,125867.0,20.611,5.1
493,tm164391,The Pacifier,MOVIE,2005,PG,95,"['comedy', 'drama', 'family', 'action']",0.0,5.6,93400.0,31.785999999999998,6.1
494,tm145443,Ice Age: Dawn of the Dinosaurs,MOVIE,2009,PG,95,"['comedy', 'drama', 'fantasy', 'animation', 'family']",0.0,6.9,240790.0,100.895,6.7
495,tm26315,Ice Age: The Meltdown,MOVIE,2006,PG,91,"['comedy', 'animation', 'family', 'fantasy']",0.0,6.8,273630.0,83.05,6.7
496,ts3533,The Avengers: Earth's Mightiest Heroes,SHOW,2010,TV-Y7,24,"['scifi', 'animation', 'action', 'family']",2.0,8.3,14706.0,39.251,8.3
497,tm76049,Around the World in 80 Days,MOVIE,2004,PG,120,"['comedy', 'family', 'western', 'action']",0.0,5.8,89282.0,17.765,5.9
498,tm137650,The Haunted Mansion,MOVIE,2003,PG,88,"['comedy', 'thriller', 'fantasy', 'horror', 'family', 'drama']",0.0,5.0,48122.0,14.800999999999998,5.6
499,tm98015,The Last Song,MOVIE,2010,PG,107,"['romance', 'drama', 'music']",0.0,5.9,86870.0,14.474,7.2
500,ts21258,Wolverine and the X-Men,SHOW,2009,TV-Y7,23,"['action', 'scifi', 'drama', 'family', 'animation']",1.0,8.0,10914.0,15.960999999999999,7.7
501,tm101226,Toy Story 3,MOVIE,2010,G,102,"['comedy', 'animation', 'family', 'fantasy']",0.0,8.3,813385.0,93.98299999999999,7.8
502,tm142670,Race to Witch Mountain,MOVIE,2009,PG,98,"['fantasy', 'thriller', 'action', 'family', 'scifi']",0.0,5.7,59239.0,13.526,5.8
503,ts20581,Mickey Mouse Clubhouse,SHOW,2006,TV-Y,27,"['animation', 'comedy', 'family', 'fantasy']",5.0,5.7,3596.0,76.107,6.8
504,tm88315,The Princess Diaries 2: Royal Engagement,MOVIE,2004,G,113,"['romance', 'comedy', 'family']",0.0,5.8,79676.0,32.959,6.6
505,tm168452,Herbie Fully Loaded,MOVIE,2005,G,100,"['fantasy', 'family', 'romance', 'sport', 'comedy']",0.0,4.8,47544.0,29.053,5.6
506,tm35821,Bolt,MOVIE,2008,PG,96,"['animation', 'comedy', 'crime', 'drama', 'family', 'scifi', 'fantasy']",0.0,6.8,206056.0,69.633,6.5
507,tm22511,High School Musical,MOVIE,2006,G,98,"['romance', 'comedy', 'drama', 'family', 'music']",0.0,5.4,86882.0,35.007,6.6
508,ts15388,American Dragon: Jake Long,SHOW,2005,TV-G,21,"['comedy', 'action', 'animation', 'family', 'fantasy']",2.0,6.6,11743.0,71.45,7.9
509,tm149656,The Princess and the Frog,MOVIE,2009,G,97,"['romance', 'family', 'fantasy', 'animation', 'comedy']",0.0,7.1,139714.0,85.33200000000001,7.1
510,ts22467,Wizards of Waverly Place,SHOW,2007,TV-G,24,"['scifi', 'comedy', 'drama', 'family', 'fantasy']",4.0,6.9,33279.0,35.107,8.2
