,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
976,tm133088,Star Trek V: The Final Frontier,MOVIE,1989,PG,107,"['scifi', 'thriller', 'action', 'fantasy', 'european']",0.0,5.4,59458.0,15.152999999999999,5.8
977,tm57964,Hospital Massacre,MOVIE,1981,R,89,"['horror', 'thriller']",0.0,4.9,2662.0,7.372999999999999,5.0
978,tm153902,Don't Tell Her It's Me,MOVIE,1990,PG-13,101,"['comedy', 'romance']",0.0,5.7,2885.0,5.296,5.8
979,tm112257,Hollywood Harry,MOVIE,1986,PG-13,98,"['comedy', 'thriller', 'crime']",0.0,4.9,98.0,1.4280000000000002,1.0
980,tm156217,The Rift,MOVIE,1990,R,82,"['thriller', 'horror', 'scifi', 'action', 'european']",0.0,4.6,2238.0,5.767,4.4
981,tm47996,She,MOVIE,1985,,106,"['action', 'fantasy', 'scifi', 'european']",0.0,4.7,1665.0,2.636,4.8
982,tm138706,Cousins,MOVIE,1989,PG-13,109,"['comedy', 'romance']",0.0,6.4,4658.0,4.216,6.1
983,tm173901,Alphabet City,MOVIE,1984,R,85,"['crime', 'thriller', 'drama']",0.0,5.1,913.0,2.114,4.4
984,tm124313,Full Moon High,MOVIE,1981,PG,93,"['fantasy', 'horror', 'comedy']",0.0,4.7,1376.0,4.135,4.3
985,tm132779,The Heavenly Kid,MOVIE,1985,PG-13,90,"['fantasy', 'comedy', 'romance']",0.0,6.3,4936.0,5.044,6.5
986,tm175464,Up the Creek,MOVIE,1984,R,96,['comedy'],0.0,5.5,3557.0,5.907,5.7
987,tm22004,Snow White,MOVIE,1987,PG,85,"['fantasy', 'romance', 'family', 'european']",0.0,6.5,827.0,5.939,6.8
988,tm118077,Vicious Lips,MOVIE,1987,R,84,"['comedy', 'scifi', 'horror', 'music']",0.0,4.4,1667.0,1.892,5.2
989,tm137795,Big Time,MOVIE,1988,PG,87,"['documentation', 'music']",0.0,8.0,832.0,2.036,6.7
990,tm49280,April Morning,MOVIE,1988,,100,"['drama', 'war', 'history']",0.0,6.4,678.0,1.624,5.6
991,tm58974,Starflight One,MOVIE,1983,,105,"['scifi', 'thriller']",0.0,4.7,1047.0,5.334,4.5
992,tm59018,Screamtime,MOVIE,1983,R,91,"['horror', 'thriller', 'drama', 'fantasy']",0.0,4.9,876.0,2.307,4.2
993,tm60550,The Chocolate War,MOVIE,1988,R,100,['drama'],0.0,6.6,2170.0,2.801,5.6
994,tm57911,The House Where Evil Dwells,MOVIE,1982,R,88,['horror'],0.0,4.5,1230.0,3.0669999999999997,4.3
995,tm117678,Dangerously Close,MOVIE,1986,R,95,"['thriller', 'action', 'crime']",0.0,5.6,1307.0,2.815,4.5
996,tm130986,Too Scared to Scream,MOVIE,1985,R,100,"['thriller', 'crime', 'drama']",0.0,5.0,646.0,3.605,5.4
997,tm24727,Down Twisted,MOVIE,1987,R,88,"['crime', 'drama', 'thriller', 'action']",0.0,5.3,1018.0,3.03,3.8
998,ts10536,Eureeka's Castle,SHOW,1989,TV-Y,24,"['fantasy', 'family', 'comedy']",1.0,7.3,1571.0,2.722,6.2
999,tm21710,Critical Condition,MOVIE,1987,R,100,['comedy'],0.0,5.3,3509.0,4.996,5.9
1000,tm129019,Terror at London Bridge,MOVIE,1985,,100,"['horror', 'thriller', 'crime', 'fantasy']",0.0,4.9,580.0,2.573,5.0
1001,tm130659,Savage Island,MOVIE,1985,R,79,"['drama', 'crime', 'thriller', 'action', 'european']",0.0,3.4,678.0,2.988,3.4
1002,tm177030,Until September,MOVIE,1984,R,95,"['drama', 'romance']",0.0,5.6,699.0,1.949,5.4
1003,tm118347,Windrider,MOVIE,1986,R,92,"['drama', 'comedy', 'romance']",0.0,5.1,676.0,2.128,5.6
1004,tm21067,Timestalkers,MOVIE,1987,,83,"['thriller', 'drama', 'scifi', 'western']",0.0,5.6,1407.0,4.046,5.3
1005,tm120393,Land of Doom,MOVIE,1986,,87,"['scifi', 'action', 'thriller']",0.0,3.5,628.0,4.242,2.9
1006,tm129146,Beer,MOVIE,1985,R,82,['comedy'],0.0,5.2,712.0,1.607,4.5
1007,tm43561,After School,MOVIE,1988,R,89,"['drama', 'action', 'comedy']",0.0,3.6,181.0,0.77,1.8
1008,tm2453,A Breed Apart,MOVIE,1984,R,100,"['romance', 'action', 'drama']",0.0,5.5,1602.0,2.283,5.3
1009,tm125928,The Berlin Affair,MOVIE,1985,NC-17,95,"['drama', 'european']",0.0,5.3,571.0,6.811,5.2
1010,tm133346,Wild Geese II,MOVIE,1985,R,125,"['thriller', 'action']",0.0,4.8,1380.0,2.92,4.4
1011,tm116165,Detective School Dropouts,MOVIE,1986,PG,92,"['action', 'comedy']",0.0,5.5,316.0,0.758,7.3
1012,tm131672,Thunder Alley,MOVIE,1985,R,111,"['drama', 'music']",0.0,6.2,411.0,2.736,5.1
1013,tm135962,Grave Secrets,MOVIE,1989,R,89,['horror'],0.0,4.5,415.0,2.342,4.4
1014,tm24412,Slam Dance,MOVIE,1987,R,99,"['thriller', 'crime', 'drama']",0.0,5.2,1559.0,4.955,5.0
1015,tm52238,It Takes Two,MOVIE,1988,PG-13,78,"['romance', 'comedy']",0.0,5.4,782.0,2.99,5.3
1016,tm124987,Mata Hari,MOVIE,1985,R,108,"['thriller', 'war', 'drama']",0.0,3.9,935.0,3.282,3.7
1017,tm2421,A Matter of Sex,MOVIE,1984,,100,"['drama', 'history']",0.0,6.7,126.0,1.96,7.5
1018,tm145774,Queen of Hearts,MOVIE,1989,PG,112,['comedy'],0.0,6.7,502.0,2.3680000000000003,6.8
1019,tm48003,Moving Target,MOVIE,1988,,100,"['thriller', 'crime', 'drama', 'romance']",0.0,5.6,577.0,1.88,6.1
1020,tm152014,Funny About Love,MOVIE,1990,PG-13,101,"['comedy', 'drama', 'romance']",0.0,4.8,1459.0,2.9210000000000003,4.8
1021,tm47492,Unmasking The Idol,MOVIE,1986,PG,90,['action'],0.0,4.9,210.0,1.275,3.5
1022,tm53306,Sticky Fingers,MOVIE,1988,PG-13,97,['comedy'],0.0,4.8,473.0,1.34,7.9
1023,tm119326,Hell Squad,MOVIE,1986,R,87,"['thriller', 'action']",0.0,3.3,373.0,2.802,2.5
1024,ts28808,The New Archies,SHOW,1987,TV-Y,22,"['animation', 'comedy']",1.0,6.8,100.0,2.1430000000000002,
1025,tm65428,Inherit the Wind,MOVIE,1988,,96,"['drama', 'history']",0.0,6.6,545.0,1.5759999999999998,7.6
1026,tm178053,Jealousy,MOVIE,1984,,100,['drama'],0.0,6.1,111.0,1.558,2.0
1027,tm53190,Predator: The Quietus,MOVIE,1988,,90,['horror'],0.0,3.0,132.0,0.961,10.0
1028,tm200473,Boy Takes Girl,MOVIE,1982,PG-13,90,['drama'],0.0,6.2,79.0,0.84,3.8
1029,tm111216,Stoogemania,MOVIE,1986,PG,83,['comedy'],0.0,3.6,172.0,0.84,
1030,tm66461,In Dangerous Company,MOVIE,1988,R,92,"['thriller', 'crime', 'romance', 'action', 'drama']",0.0,3.2,143.0,1.15,3.5
1031,tm151066,Ator IV: The Hobgoblin,MOVIE,1990,PG-13,94,"['fantasy', 'european']",0.0,2.7,822.0,3.1310000000000002,3.2
